"Package","Version","Built"
"Biobase","2.68.0","4.5.0"
"BiocGenerics","0.54.1","4.5.2"
"clusterProfiler","4.16.0","4.5.0"
"DESeq2","1.48.1","4.5.0"
"e1071","1.7-17","4.5.3"
"edgeR","4.6.3","4.5.1"
"GenomicRanges","1.60.0","4.5.0"
"ggplot2","4.0.2","4.5.2"
"glmnet","4.1-10","4.5.2"
"igraph","2.2.1","4.5.2"
"IRanges","2.42.0","4.5.0"
"limma","3.64.3","4.5.1"
"maSigPro","1.80.0","4.5.0"
"org.Hs.eg.db","3.21.0","4.5.2"
"pheatmap","1.0.13","4.5.2"
"randomForest","4.7-1.2","4.5.2"
"S4Vectors","0.46.0","4.5.0"
"STRINGdb","2.20.0","4.5.0"
"WGCNA","1.74","4.5.2"
